NEGATIVE #	SUBJECT	LOCATION	COUNTY	STATE	COUNTRY	MONTH	DAY	YEAR	PHOTOGRAPHER	GLASS PLATE	CELLULOID	SAFETY FILM	SIZE	BLACK & WHITE	COLOR	4X5 COPY NEGATIVE	35MM SLIDE	PRINT ON FILE	COMMENTS1	COMMENTS2	PUBLISHED
615	Diplodocus carnegii - members of American Association of Museums assembled about the skeleton in the Carnegie Museum; June 5; 1907. (5 sections to complete photograph.) Section 2: midsection of body	Carnegie Museum; Pittsburgh	Allegheny	Pennsylvania	USA					Y			8x10	Y				Y			See Proc. Amer. Assoc. Mus., vol. 1, 1907, p. 25.
616	Diplodocus carnegii - members of American Association of Museums assembled about the skeleton in the Carnegie Museum; June 5; 1907. (5 sections to complete photograph.) Section 3: just behind pelvis to where tail reaches ground	Carnegie Museum; Pittsburgh	Allegheny	Pennsylvania	USA					Y			8x10	Y				Y			See Proc. Amer. Assoc. Mus., vol. 1, 1907, p. 25.
617	Diplodocus carnegii - members of American Association of Museums assembled about the skeleton in the Carnegie Museum; June 5; 1907. (5 sections to complete photograph.) Section 4: tail	Carnegie Museum; Pittsburgh	Allegheny	Pennsylvania	USA					Y			8x10	Y				Y			See Proc. Amer. Assoc. Mus., vol. 1, 1907, p. 25.
618	Diplodocus carnegii - (replica in plaster) tail vertebrae	Taken in old Exposition Building; downtown Pittsburgh	Allegheny	Pennsylvania	USA					Y			8x10	Y							
619	Diplodocus carnegii - (replica in plaster) anterior tail vertebrae	Taken in old Exposition Building; downtown Pittsburgh	Allegheny	Pennsylvania	USA					Y			8x10	Y							
620	Diplodocus carnegii - (replica in plaster) with Asher W. VanKirk, Arthur Coggeshall, and Louis Coggeshall.	Taken in old Exposition Building; downtown Pittsburgh	Allegheny	Pennsylvania	USA					Y			8x10	Y		Y		Y			
621	Diplodocus carnegii - (replica in plaster) body skeleton. Arthur S. Coggeshall on left, Louis Coggeshall on right.	Taken in old Exposition Building; Pittsburgh	Allegheny	Pennsylvania	USA					Y			8x10	Y		Y		Y			
622	Diplodocus carnegii - (replica) caudal vertebrae. From replica in British Museum									Y			8x10 (6½ x 8½)	Y							
623	Diplodocus - from painting by Charles Knight									Y			8x10 (6½ x 8½)	Y				Y			
624	Diplodocus carnegii skeleton								Johnston Studios	Y			8x10	Y					Published picture from 'Animals of the Past' by AMNH.		
625	Diplodocus carnegii skeleton; photo of a photo.									Y			5x7	Y				Y			
626	Diplodocus carnegii - drawing of a skeleton																				
627	Diplodocus carnegii model by T A Mills																	Y			
628	Diplodocus carnegii model by T A Mills.									Y			5x7	Y				Y			
629	Diplodocus carnegii model by T A Mills and drawing of skeleton																				
630	Diplodocus carnegii relief by T A Mills (2 negatives).									Y			5x7	Y				Y			
631	CM 9187 Edaphosaurus boanerges									Y			5x7	Y				Y			
632	CM 9187 Edaphosaurus boanerges									Y			5x7	Y				Y			
633	CM 9187 Edaphosaurus boanerges									Y			5x7	Y				Y			
634	CM 566 Elosaurus femur									Y			5x7	Y							
635	CM 566 Elosaurus tibia																				
636	CM 566 Elosaurus forelimb																	Y			
637																					
638	Box of lantern slides of Mexico; with captions				Mexico																
639	Box of lantern slides of Mexico; with captions				Mexico																
640	Box of lantern slides of Mexico; with captions				Mexico																
641	Box of lantern slides of Mexico; with captions				Mexico																
642	Box of lantern slides - miscellaneous; no reference to vertebrate paleontology																				
643	CM 1339 Goniopholis gilmorei									Y			8x10	Y							
644	CM 9600 Hassiacosuchus kayi skull									Y			5x7	Y				Y			
645	CM 9600 Hassiacosuchus kayi (underside view)										Y		8x10	Y					Negative slightly wrinkled at one side; may be nitrate.		
646	CM 9600 Hassiacosuchus kayi (underside view)										Y		8x10	Y				Y	Background 'whited out'.		
647	CM 9600 Hassiacosuchus kayi (top side)										Y		8x10	Y				Y	Two negatives, badly damaged and unusable.		
648	CM 9600 Hassiacosuchus kayi (top view)										Y		8x10	Y				Y	There are two negatives for this: one yellow which has the background blanked out, and one that looks like a copy negative from the yellow one.		
649	CM 2043 Haplocanthosaurus pelvis (anterior view).									Y			5x7	Y				Y			
650	CM 2043 Haplocanthosaurus (posterior view).									Y			5x7	Y				Y			
651	CM 2043 Haplocanthosaurus (side view).									Y			5x7	Y				Y			
652	Fossil lizard drawing																				
653	CM 11340 Dryosaurus altus - portion of skeleton worked out.									Y			5x7	Y				Y			
654	CM 3392 Dryosaurus altus (Laosaurus) skeleton in block									Y			8x10	Y							
655	CM 4471 Stenopterygius sp. (originally labeled No. 2471, Ichthyosaurus quadriscissus? & I. acutirostris.) CM 6003?									Y			8x10	Y					See also negative 299.		Founder's Day Report, 1903.
656	CM 8941(?) Mosasaurus lemonnieri skeleton									Y			8x10	Y				Y			
657	Stegosaurus model (2 negatives)								Sydney Prentice	Y			8x10	Y				Y	Yellow negative.		
658	Stegosaurus on exhibit(?) (2 negatives)								Sydney Prentice	Y			8x10	Y				Y			
659	Bones found by Dr Percy E Raymond at Pitcairn, PA.									Y			8x10	Y				Y			
660	Pariasaurus baini skeleton (from British Museum Guide to Fossil Reptiles and Fishes; 8th ed (Woodward) plate 4).									Y			5x7	Y				Y			
661	CM 12100 Trachodon (=Edmontosaurus) vertebrae in block										Y		8x10	Y				Y	There are two negatives for this picture, both 8x10, probably nitrate. One is badly damaged and un-usable, the other is wrinkled only at the edges.		
662	CM 12100 Trachodon (=Edmontosaurus) vertebrae in block										Y		8x10	Y				Y	Negative is slightly wrinkled at edges; may be nitrate.		
663	CM 12100 Trachodon (=Edmontosaurus) vertebrae in block									Y			8x10	Y				Y			
664	CM 12100 Trachodon (=Edmontosaurus) vertebrae in column									Y			8x10	Y				Y			
665	CM 12100 Trachodon (=Edmontosaurus) skin									Y			8x10	Y				Y			
666	CM 12100 Trachodon (=Edmontosaurus) in matrix.									Y			5x7	Y				Y			
667	CM 12100 Trachodon (=Edmontosaurus) pelvis									Y			5x7	Y				Y			
668	CM 12100 Trachodon (=Edmontosaurus)									Y			5x7	Y				Y			
669	CM 12100 Trachodon(?) (=Edmontosaurus)									Y			5x7	Y				Y			
670	Triceratops painting with Trachodon (=Edmontosaurus) in distance; by Charles R Knight																				
671	W H Utterback working in lab.	Pittsburgh	Allegheny	Pennsylvania	USA					Y			5x7	Y		Y		Y			
672	Triceratops - Charles R Knight painting										Y		8x10	Y				Y	Negative is slightly wrinkled around edges; may be nitrate.		
673	Triceratops skull; W H Utterback standing beside.									Y			8x10	Y				Y	Background is blanked out.		
673a	Triceratops skull; W H Utterback standing beside.									Y			8x10	Y		Y		Y	May be out of focus.		
673c	Triceratops skull; W H Utterback standing beside.									Y			8x10	Y		Y		Y	Background is blanked out; may be copy of negative 673.		
674	Triceratops model (left side)									Y			8x10	Y				Y			
675	Trachodon (=Edmontosaurus) from Carter County, Montana.									Y			8x10	Y				Y			
676	CM 11069 Uintasaurus douglassi Holotype (=Camarasaurus lentus) cervical vertebrae (end view)									Y			5x7	Y				Y			
677	CM 11069 Uintasaurus douglassi Holotype (=Camarasaurus lentus) cervical vertebrae (end view)									Y			5x7	Y				Y			
678	Uintasaurus cervical vertebrae (side view)									Y			8x10	Y							
679	Uintasaurus cervical vertebrae (2 negatives)									Y			8x10	Y							
680	Tyrannosaurus skull									Y			8x10	Y							
681	Tyrannosaurus drawing (2 negatives)																				
682	Tyrannosaurus rex on exhibit											Y	4x5	Y							
683	CM 3272 Amyda scutumantiquum carapace									Y			8x10	Y							Gilmore: MCM 7(2), pl. 26.
684	CM 3403 Hadrianus carsoni plastron									Y			8x10	Y							Gilmore: MCM 7(2), pl. 25.
685	CM 2343 Hadrianus utahensis HOLOTYPE plastron									Y			8x10	Y							Gilmore: MCM 7(2), pl. 26.
686	CM 3342 Hadrianus robustus HOLOTYPE plastron									Y			8x10	Y							Gilmore: MCM 7(2), pl. 25.
687	CM 2936 (?) Echmatemys depressa HOLOTYPE carapace									Y			8x10	Y							Gilmore: MCM 7(2), pl. 23.
688	CM 2371 Echmatemys callopyge carapace									Y			8x10	Y							Gilmore: MCM 7(2), pl. 21.
689	CM 2371 Echmatemys callopyge plastron									Y			8x10	Y							Gilmore: MCM 7(2), pl. 21.
690	CM 3252 Echmatemys obscura HOLOTYPE carapace									Y			8x10	Y							Gilmore: MCM 7(2), pl. 24.
691	CM 3252 Echmatemys obscura HOLOTYPE plastron									Y			8x10	Y							Gilmore: MCM 7(2), pl. 24.
692	CM 3244 Echmatemys douglassi HOLOTYPE plastron									Y			8x10	Y							Gilmore: MCM 7(2), pl. 22.
693	CM 3249 Echmatemys hollandi HOLOTYPE carapace									Y			8x10	Y							Gilmore: MCM 7(2), pl. 23.
694	CM 3249 Echmatemys hollandi HOLOTYPE																		Charles W. Gilmore: Memoirs of Carnegie Museum VII(2).		
695	CM 3406 Baena inflata HOLOTYPE carapace									Y			8x10	Y							Gilmore: MCM 7(2), pl. 19.
696	CM 3406 Baena inflata HOLOTYPE plastron									Y			8x10	Y							Gilmore: MCM 7(2), pl. 19.
697	CM 3441 Baena gigantea HOLOTYPE plastron									Y			8x10	Y							Gilmore: MCM 7(2), pl. 20.
698	CM 3441 Baena gigantea HOLOTYPE carapace									Y			8x10	Y							Gilmore: MCM 7(2), pl. 20.
699	CM 3227 Baena platyplastra HOLOTYPE plastron									Y			8x10	Y							Gilmore: MCM 7(2), pl. 18.
700	CM 2356 Baena arenosa carapace									Y			8x10	Y							Gilmore: MCM 7(2), pl. 18.
701	CM 1420-1421 Protostega gigas skeleton									Y			8x10	Y				Y			
702	Protostega gigas - dorsal view of entire animal									Y			8x10	Y				Y			
703	Protostega gigas paddle									Y			8x10	Y							
704	CM 1421 Protostega gigas Cope, exhibition, skull & left foreleg.									Y			8x10	Y							Gilmore: MCM 7(2), fig. 1, p. 272.
705	CM 1420-21: Protostega gigas									Y			8x10	Y							Gilmore: MCM 7(2)
706	CM 1420-21: Protostega gigas									Y			8x10	Y							Gilmore: MCM 7(2)
707	CM 1420-21: Protostega gigas									Y			8x10	Y							Gilmore: MCM 7(2)
708	CM 1420-21: Protostega gigas									Y			8x10	Y							Gilmore: MCM 7(2)
709	CM 1420-21: Protostega gigas									Y			8x10	Y							Gilmore: MCM 7(2)
710	CM 1420-21: Protostega gigas									Y			8x10	Y							Gilmore: MCM 7(2)
711	CM 1420-21: Protostega gigas (2 negatives)									Y			8x10	Y							
712	Protostega in its original crushed condition as sent in from field									Y			8x10	Y							
713	CM 2331 Testudo uintensis HOLOTYPE plastron									Y			8x10	Y							Gilmore: MCM 7(2), pl. 27.
714	CM 2331 Testudo uintensis HOLOTYPE carapace									Y			8x10	Y							Gilmore: MCM 7(2), pl. 27.
715	CM 1535 Testudo edae Hay, shell (superior view)									Y			8x10	Y							Hay: ACM 4, pl. 7.
716	CM 1535 Testudo edae Hay, shell (inferior view)									Y			8x10	Y							Hay: ACM 4, pl. 8.
717	CM 311 Testudo inusitata Hay, shell (superior view) (2 negatives)									Y			8x10	Y							Hay: ACM 4, pl. 3.
718	CM 311 Testudo inusitata Hay, shell (inferior view)									Y			8x10	Y							Hay: ACM 4, pl. 4.
719	CM 1561 Testudo hollandi Hay, shell (inferior view) (2 negatives)									Y			8x10	Y							Hay: ACM 4, pl. 6.
720	CM 1561 Testudo hollandi Hay, shell (superior view) (2 negatives)									Y			8x10	Y							Hay: ACM 4, pl. 5.
721	CM 3380 Glyptops utahensis									Y			5x7	Y				Y	Charles W. Gilmore: Annals of Carnegie Museum X.		Gilmore: ACM 10
722	Turtle									Y			5x7	Y				Y			
723	CM 11995 Echmatemys sp., four complete shells in one block										Y		8x10	Y							
724	CM 3244 Echmatemys douglassi HOLOTYPE									Y			8x10	Y							
725	CM 3411 Glyptops plicatulus and CM 3412 Glyptops utahensis									Y			8x10	Y							
726	Turtles									Y			8x10	Y							
727	CM 3409 Eurysternum wagleri (4 negatives)																				
728	Pterosaurs - illustrations for Wellnhofer MS																				
729	?CM 9377 Neocathartes grallator in matrix.								Sydney Prentice	Y			5x7	Y				Y			
730	Illustration of Archaeopteryx - (2 negatives)									Y			5x7	Y				Y			
731	Illustrations of Archaeopteryx from New York Times, December 26, 1937.									Y			5x7	Y				Y			
732	Archaeopteryx - published illustration of slab mount									Y				Y				Y			
733	Archaeopteryx - published illustration.									Y				Y				Y			
734	CM 11424 Campylognathoides liasicus										Y			Y				Y			
735	CM 11425 Pteradactylus elegans slab mount										Y			Y				Y	Negative badly damaged and wrinkled.		
736	CM 11425 Pteradactylus elegans slab mount										Y		yes	Y							
737	CM 11431 Rhamphorhynchus muensteri, slab mount.									Y			5x7	Y				Y			
738	CM 11424 Campylognathoides liasicus (in part)								Sydney Prentice		Y		8x10	Y				Y			
739	CM 11426 Pterodactylus sp. (=Cycnorhamphus)								Sydney Prentice		Y		8x10	Y				Y			
740a	Taoperdix									Y			8x10	Y							
740b	Nyctodactylus																				
741	CM 11427 Rhamphorhynchus munsteri, var. longimanus (3 negatives, 2 8x10, 1 5x7)										Y		8x10 & 5x7	Y				Y			
742	CM 11433 Rhamphorhynchus longicaudus								Sydney Prentice		Y		8x10	Y				Y			
743	CM 11429 Rhamphorhynchus munsteri (2 negs., 1 8x10 & 1 5x7)										Y		8x10 & 5x7	Y				Y			
744	CM 11430 Rhamphorhynchus sp., limb bones								Sydney Prentice		Y		8x10	Y				Y			
745	CM 11428 Rhamphorhynchus longiceps								Sydney Prentice												
746	CM 11428 Rhamphorhynchus longiceps								Sydney Prentice		Y		8x10	Y				Y			
747	CM 11431 Rhamphorhynchus munsteri										Y		8x10	Y							
748	CM 11432 Rhamphorhynchus munsteri (2 negs., 1 8x10, 1 5x7)								Sydney Prentice		Y		8x10 & 5x7	Y				Y			
749	CM 11422 Nyctodactylus, partial image								Sydney Prentice		Y		8x10	Y				Y			
750	CM 11422 Nyctodactylus, full image								Sydney Prentice	Y			8x10	Y				Y			
751	Published illustration of an artiodactyl metapodial.									Y			5x7	Y				Y			
752	CM 11398 Archaeotherium mortoni skeleton - mounted									Y			8x10	Y				Y			
753	Archaeotherium model									Y			8x10	Y				Y			
754	CM 11019-11020 Arctodus simus									Y			8x10	Y							
755	CM 11019-11020 Arctodus simus									Y			8x10	Y							
756	Published illustration of a lower jaw of a badger.									Y			8x10	Y					Yellow negative		
757	Published illustration of an Ox skull from Scotland.									Y			8x10	Y							
758	Published illustration of bison metatarsals.									Y			5x7	Y				Y			
759	Bison skull held by a man									Y			8x10	Y							
760	Bison model made by Harold J. Clement (left side).										Y		5x7	Y				Y			
761	Bison model made by Harold J. Clement (left side)								Sydney Prentice		Y		8x10	Y				Y	Yellow negative		
762	Bison model made by Harold J. Clement (right side).										Y		5x7	Y				Y			
763	Bison model made by Harold J. Clement (right side)								Sydney Prentice		Y		8x10	Y				Y	Yellow negative		
764	Published illustration of wild boar skull.									Y			5x7	Y				Y			
765	CM 92 Brontops dispar skeleton - mounted.									Y			5x7	Y				Y			
766	Brontops dispar skeleton - mounted									Y			8x10	Y				Y			
767	Brontops dispar skeleton - mounted									Y			8x10	Y							
768	Illustrations of carnivore jaws.									Y			5x7	Y				Y			
769	Published illustration of a wolf skull.									Y			5x7	Y				Y			
770	CM 3994 Canis dirus																	Y			
771	Canis dirus model (right side) by Harold J. Clement								Sydney Prentice		Y		8x10	Y				Y			
772	Canis dirus skeleton - mounted									Y			8x10	Y				Y			
773	Published illustration of a Castoroides europaeus (european beaver) skull from Fens, Cambridgeshire.									Y			8x10	Y							
774	Daemonelix									Y			8x10	Y							
775	Sabre-tooth cat and Protoceras - Charles R Knight painting.									Y			5x7	Y				Y			
776	CM 492 Daphoenus felinus skeleton - mounted.										Y		5x7	Y							
777	Daphoenus felinus model made by T. A. Mills.									Y			5x7	Y				Y			
778	CM 492 Daphoenus felinus skeleton - mounted									Y			8x10	Y				Y			MCM 1, pl. 20; Founder's Day Report, 1902, p. 22
779	CM 492 Daphoenus felinus skeleton - mounted									Y			8x10	Y				Y			
780	CM 3394? Diplobunops matthewi lower jaws (superior view)								Kohler		Y		5x7	Y							
781	CM 11801a Diplobunops ultimus skull Holotype (inferior view).										Y		5x7	Y				Y			
782	CM 11801a Diplobunops ultimus skull Holotype (lateral view).										Y		5x7	Y				Y			
783	CM 11801a Diplobunops ultimus skull Holotype (superior view)										Y		5x7	Y				Y			
784	CM 11769 Diplobunops uintensis skull Holotype (inferior view).										Y		5x7	Y				Y			
785	CM 11769 Diplobunops uintensis skull Holotype (superior view).										Y		5x7	Y				Y			
786	CM 11769 Diplobunops uintensis skull Holotype (lateral view).										Y		5x7	Y				Y			
787	Diplobunops skeleton - mounted (2 negatives)									Y			8x10	Y				Y			
788	Diplobunops skeleton - mounted					1	12	193?	Sydney Prentice	Y			8x10	Y				Y			
789	Diplobunops skeleton - mounted					1	13	1939	Sydney Prentice	Y			8x10	Y				Y			
790	Diplacodon model (2 negatives) made by Harold J. Clement.										Y		5x7	Y				Y	Both negatives badly damaged, wrinkled. They have been removed.		
791	Diplacodon skeleton - mounted																	Y			
792	Dinohyus hollandi model (left side)																				
793	Dinosaur vertebrae																	Y			
794	Chart of edentition of proboscideans									Y			8x10	Y							
795	Dolichorhinus									Y			8x10	Y							
796	Dolichorhinus									Y			8x10	Y							
797	Dolichorhinus vertebrae & ribs									Y			8x10	Y				Y			
798	Illustration of reconstruction of Eohippus - sketch.									Y			5x7	Y				Y			
799	Chart of evolution of the horse									Y			8x10	Y							
800	Chart of the osteology of a horse									Y			8x10	Y				Y			
801	Illustration of reconstruction of Equus caballus - sketch.									Y			5x7	Y				Y			
802	Equus caballus model (right side)									Y			8x10	Y				Y			
803	Equus occidentalis skeleton - mounted										Y		8x10	Y				Y			
804	Equus occidentalis skeleton - mounted										Y		8x10	Y				Y			
805	Equus occidentalis model (right side)									Y			8x10	Y				Y			
806	CM 765 Eporeodon (=Eucrotaphus) helenae HOLOTYPE skull (superior view).							1935	F W Kohler		Y		5x7	Y							
807	CM 765 Eporeodon (=Eucrotophus) helenae HOLOTYPE skull (lateral view).							1935	F W Kohler		Y		5x7	Y				Y			
808	CM 765 Eporeodon (=Eucrotophus) helenae HOLOTYPE lower jaws (superior view)							1935	F W Kohler		Y		5x7	Y				Y			
809	CM 765 Eporeodon (=Eucrotophus) helenae HOLOTYPE lower jaws (lateral view).							1935	F W Kohler		Y		5x7	Y				Y			
810	CM 765 Eporeodon (=Eucrotophus) helenae HOLOTYPE skull (inferior view).							1935	F W Kohler		Y		5x7	Y							
811	CM 907 Eporeodon (=Eucrotophus) montanus HOLOTYPE skull (superior view).							1935	F W Kohler		Y		5x7	Y				Y			
812	CM 907 Eporeodon (=Eucrotophus) montanus HOLOTYPE (inferior view).							1935	F W Kohler		Y		5x7	Y				Y			
813	CM 907 Eporeodon (=Eucrotophus) montanus HOLOTYPE lower jaws (superior view).							1935	F W Kohler		Y		5x7	Y				Y			
814	CM 1584 Eporeodon (=Eucrotaphus) dickinsonensis HOLOTYPE skull (superior view).							1935	F W Kohler		Y		5x7	Y				Y			
815	CM 1584 Eporeodon (=Eucrotophus) dickinsonensis HOLOTYPE skull (inferior view).							1935	F W Kohler		Y		5x7	Y				Y			
816	CM 1584 Eporeodon (=Eucrotophus) dickinsonensis HOLOTYPE lower jaws (superior view).							1935	F W Kohler		Y		5x7	Y				Y			
817	Irish elk vertebrae									Y			8x10	Y				Y			
818	Irish elk ribs and vertebrae									Y			8x10	Y				Y			
819	Irish elk model (left side)									Y			8x10	Y				Y			
820	Published print of Hyracodon nebrascensis restoration sketch from book.									Y			8x10	Y				Y			
821	CM 567 Hoplophoneus primaevus skeleton - mounted										Y		5x7	Y					Negative badly damaged - removed.		
822	Hoplophoneus primaevus skeleton - mounted									Y			8x10	Y				Y	Print damaged in printing.		
823	Hypertragulus skeleton - mounted									Y			8x10	Y				Y			
824	Hypertragulus - block of matrix									Y			8x10	Y				Y			
825	Mylagaulid dentition - drawings																				
826	Published print of Charles R. Knight painting of mastodons along the Missour River, Kansas.									Y			5x7	Y				Y			
827	CM 67 Mammut americanum (mastodon) skeleton (left side)									Y			8x10	Y				Y			
828	Mammut americanum model (right side) made by Harold J. Clement									Y			8x10	Y				Y			
829	Mammut americanum model (left side)									Y			8x10	Y				Y	Made by H J Clement.		
830	CM 12066 Mammuthus columbi skeleton - mounted (2 negatives)									Y			8x10	Y							
831	Published print of drawing of mammoth teeth.									Y			5x7	Y							
832	Proboscidean limb bones.									Y			5x7	Y				Y			
833	Proboscidean limb bones.									Y			5x7	Y				Y			
834	Elephant? tusk.									Y			5x7	Y				Y			
835	Published print of drawing of female Megaceros skull.									Y			5x7	Y				Y			
836	Drawing of Merychippus.									Y			5x7	Y				Y			
837	CM 767 Merycoidodon macrorhinus (Douglass); palate view of skull.							1935	F W Kohler		Y		5x7	Y				Y			
838	CM 767 Merycoidodon macrorhinus (Douglass) skull (inferior view).							1935	F W Kohler		Y		5x7	Y				Y			
839	CM 767 Merycoidodon macrorhinus (Douglass) skull (lateral view).							1935	F W Kohler		Y		5x7	Y				Y			
840	CM 745 Merycoidodon macrorhinus (Douglass) palate (inferior view); DO no. 50).							1935	F W Kohler		Y		5x7	Y				Y			
841	CM 908 Merycoides latidens (Douglass) HOLOTYPE skull (superior view).							1935	F W Kohler		Y		5x7	Y				Y			
842	CM 908 Merycoides latidens (Douglass) HOLOTYPE skull (superior view).							1935	F W Kohler		Y		5x7	Y				Y			
843	CM 908 Merycoides latidens (Douglass) HOLOTYPE lower jaws (superior view).							1935	F W Kohler		Y		5x7	Y				Y			
844	CM 1222 Merycoides cursor Douglass HOLOTYPE lower jaws (superior view).							1935	F W Kohler		Y		5x7	Y				Y			
845	CM 1222 Merycoides cursor Douglass HOLOTYPE skull (inferior view).							1935	F W Kohler		Y		5x7	Y				Y			
846	CM 1222 Merycoides cursor Douglass HOLOTYPE skull (superior view).							1935	F W Kohler		Y		5x7	Y				Y			
847	CM 766 Merychyus (=Ticholeptus) smithi Douglass HOLOTYPE skull and jaws, not separated (lateral view).							1935	F W Kohler		Y		5x7	Y				Y			
848	CM 1466 Merychyus minimus HOLOTYPE skull (superior view).							1935	F W Kohler		Y		5x7	Y				Y			
849	CM 1466 Merychyus minimus HOLOTYPE lower jaws (superior view).							1935	F W Kohler		Y		5x7	Y				Y			
850	CM 1466 Merychyus minimus HOLOTYPE skull (inferior view).							1935	F W Kohler		Y		5x7	Y				Y			
851	Merychyus skeleton - mounted; composite of CM 1466, 3397, 1462, 1439, 565, 1331, 1525									Y			8x10	Y				Y			
852	Miacis skull and jaws (lateral view)																	Y			
853	Miacis skull (inferior view)																	Y			
854	Mylohyus lower jaw (poor focus)																				
855	CM 1323 Mesoreodon megalodon PARATYPE lower jaws (superior view).							1935	F W Kohler		Y		5x7	Y				Y			
856	CM 1325 Mesoreodon megalodon HOLOTYPE skull (inferior view).							1935	F W Kohler		Y		5x7	Y				Y			
857	CM 1325 Mesoreodon megalodon HOLOTYPE lower jaws (superior view).							1935	F W Kohler		Y		5x7	Y				Y			
858	CM 818 Merycochoerus (=Brachycrus) elrodi lower jaw (superior view).							1935	F W Kohler		Y		5x7	Y				Y	Original envelope said Merycochoerus paludicola.		
859	CM 961 Mesohippus sp. skeleton - mounted.											Y	5x7	Y				Y	Negative is badly damaged due to shrinkage of the emulsion base.		
860	Drawing of Mesohippus.									Y			5x7	Y				Y			
861	Moropus elatus skull (superior view)									Y			8x10	Y							
862	Moropus elatus skull and jaws (lateral view); (2 negatives)									Y			8x10	Y				Y			
863	Moropus elatus (Marsh) skeleton - mounted (right front view); composite of CM 1604, 1706, 1708, 1710									Y			8x10	Y							Holland & Peterson: MCM 3, pl. 75
864	Moropus elatus (Marsh) skeleton - mounted (left view); composite of CM 1604, 1706, 1708, 1710									Y			8x10	Y							
865	Moropus elatus (Marsh) skeleton - mounted (right view); composite of CM 1604, 1706, 1708, 1710									Y			8x10	Y							
866	CM 1604 Moropus elatus fore foot and hind foot									Y			8x10	Y				Y			
867	Moropus elatus pelvis									Y			8x10	Y							
868	Moropus elatus sacrum									Y			8x10	Y							
869	Moropus elatus - two feet																				
870	Moropus elatus foot									Y			5x7	Y				Y			
871	CM 2103 Moropus skull (superior view)									Y			8x10	Y				Y			
872	CM 1604 Moropus ribs									Y			8x10	Y							
873	Moropus sacrum																				
874	Oxydactylus model									Y			8x10	Y				Y			
875	Oxydactylus skull & neck - mounted									Y			8x10	Y				Y			
876	Oxydactylus longipes skeleton - mounted (left side)									Y			8x10	Y				Y			Peterson: ACM 2
877	CM 1288 Phenacocoelus munroensis HOLOTYPE (=Merychyus siouxensis) lower jaws (inferior view).							1935	F W Kohler		Y		5x7	Y				Y			
878	Phenacocoelus skeleton - wall mount.									Y			5x7	Y							
879	Phenacocoelus skeleton - wall mount.									Y			5x7	Y				Y			
880	CM 1118 Oreonetes anceps PLESIOTYPE lower jaws (superior view).							1935	F W Kohler		Y		5x7	Y				Y			
881	CM 845 Poatrephes paludicola HOLOTYPE (=Ticholeptus) skull (superior view).							1935	F W Kohler		Y		5x7	Y				Y			
881a	CM 845 Poatrephes paludicola HOLOTYPE (=Ticholeptus) skull (inferior view).							1935	F W Kohler		Y		5x7	Y				Y			
882	CM 2806 Platygonus leptorhinus skeleton - mounted (left front quarter view)									Y			8x10	Y							
883	CM 2806 Platygonus leptorhinus skeleton - mounted (right side view)									Y			8x10	Y				Y			
884	CM 2806 Platygonus leptorhinus skeleton - mounted skull & neck  (left front view)									Y			8x10	Y				Y			
885	CM 2806 Platygonus leptorhinus skeleton - mounted (side view)									Y			8x10	Y							
886	CM 1440 Parahippus skull (lateral view)									Y			8x10	Y							
887	Promerycochoerus carrikeri and Promerycochoerus vantasselensis skulls: CM 1078; CM 1079; CM 1080 HOLOTYPE; CM 109; CM 1230 (8 negatives).										Y		5x7	Y					Eight negatives in 8 envelopes.		
888	Sydney Prentice illustration of Promerycochoerus (three little pigs).									Y			5x7	Y				Y			
889	CM 1303 Promerycochoerus hatcheri Douglass HOLOTYPE skull (inferior view).							1935	F W Kohler		Y		5x7	Y				Y			
890	CM 1303 Promerycochoerus hatcheri Douglass HOLOTYPE skull (superior view).							1935	F W Kohler		Y		5x7	Y				Y			
891	CM 1303 Promerycochoerus hatcheri Douglass HOLOTYPE lower jaws (superior view).							1935	F W Kohler		Y		5x7	Y				Y			
892	CM 1194 Promerycochoerus hollandi Douglass HOLOTYPE lower jaws (superior view).							1935	F W Kohler		Y		5x7	Y				Y			
893	CM 1194 Promerycochoerus hollandi Douglass HOLOTYPE skull (superior view).							1935	F W Kohler		Y		5x7	Y				Y			
894	CM 1194 Promerycochoerus hollandi Douglass HOLOTYPE skull (inferior view).							1935	F W Kohler		Y		5x7	Y				Y			
895	CM 769 Promerycochoerus minor HOLOTYPE skull (superior view)							1935	F W Kohler		Y		5x7	Y				Y			
896	CM 769 Promerycochoerus minor HOLOTYPE skull (inferior view)							1935	F W Kohler		Y		5x7	Y				Y			
897	CM 769 Promerycochoerus minor HOLOTYPE lower jaws (superior view)							1935	F W Kohler		Y		5x7	Y				Y			
898	CM 990 Promerycochoerus grandis HOLOTYPE skull (inferior view)							1935	F W Kohler		Y		5x7	Y				Y			
899	CM 990 Promerycochoerus grandis HOLOTYPE skull (superior view)							1935	F W Kohler		Y		5x7	Y				Y			
900	CM 990 Promerycochoerus grandis HOLOTYPE lower jaws (superior view)							1935	F W Kohler		Y		5x7	Y				Y			
901	Promerycochoerus carrikeri model									Y			5x7	Y				Y	Made by T A Mills. O A Peterson: Annals of Carnegie Museum IX.		Peterson: ACM 9.
902	CM 109 Promerycochoerus carrikeri lower jaws (superior view)										Y		5x7	Y				Y			
903	CM 1080 Promerycochoerus carrikeri skeletons in matrix									Y			8x10	Y				Y			
904	Promerycochoerus carrikeri model									Y			8x10	Y				Y			
905	Promerycochoerus carrikeri model									Y			8x10	Y				Y			
