NEGATIVE #	SUBJECT	LOCATION	COUNTY	STATE	COUNTRY	MONTH	DAY	YEAR	PHOTOGRAPHER	GLASS PLATE	CELLULOID	SAFETY FILM	SIZE	BLACK & WHITE	COLOR	4X5 COPY NEGATIVE	35MM SLIDE	PRINT ON FILE	COMMENTS1	COMMENTS2	PUBLISHED
199	Princeton expedition to Patagonia; 1897-1898. On the way from the Cordillera Mountains to the Atlantic coast.	Patagonia			Argentina			1897-1898	J B Hatcher				5x7					Y			
200	CM 4369 Mene rhombea.	Monte Bolca			Italy					Y			11x12					TO BE MADE	Bayet Collection. Charles Eastman: Fossil Fishes of Monte Bolca, Italy. Memoirs of Carnegie Museum VI(5)		
201	CM 5243 Ductor vestenae.	Monte Bolca			Italy					Y			8x10	Y				Y			Eastman: MCM 6(5):270 (as Ductor leptosomus)
202	CM 4304 Dasyatis muricata.	Monte Bolca			Italy					Y			8x10	Y				Y			Eastman: MCM 6(5), pl. 43 (as Trygon muricata)
203	CM 4331a Eolabroides szajnochae and ?Rhombus minimus?	Monte Bolca			Italy					Y			5x7	Y				Y			Eastman: MCM 6(5), part 2, pl. 46, fig. 3.
204	CM 5303 Eolabroides szajnochae.	Monte Bolca			Italy					Y			5x7	Y				Y			Eastman: MCM 6(5), part 2, pl. 46, fig. 2.
205	CM 5303 Eolabroides szajnochae.	Monte Bolca			Italy					Y			5x7	Y				Y			Eastman: MCM 6(5), part 2, pl. 46, fig. 2.
206	CM 5303 Eolabroides szajnochae.	Monte Bolca			Italy					Y			5x7	Y				Y			Eastman: MCM 6(5), part 2, pl. 46, fig. 2.
207	CM 5306 Eozanclus brevirostris.	Monte Bolca			Italy					Y			5x7	Y				Y			Eastman: MCM 6(5), part 2, pl. 47, fig. 3, as Zanclus brevirostris.
208	CM 5310 Rhamphosus aculeatus (juvenile).	Monte Bolca			Italy					Y			5x7	Y				Y	Bayet Collection. Charles Eastman: Fossil Fishes of Monte Bolca; Italy. Memoirs of Carnegie Museum VI(5): Pl XLIV, fig 3 (as R. rastrum)		Eastman: MCM 6(5), part 2, pl. 44, fig. 3, as Rhamphosus rastrum.
209	CM 5314 and 5314a Scophthalmus minimus.	Monte Bolca			Italy					Y			5x7	Y				Y			Eastman: MCM 6(5), pl. 45, figs. 1-2, as Eobothus minimus Ag.
210	CM 5319 Gobius microcephalus and CM 5320 Cyclopoma pygmaeum.	Monte Bolca			Italy					Y			5x7	Y				Y			Eastman: MCM 6(5), pl. 45, fig. 6 (5319); pl. 47, fig. 2 (5320, as Cyclopoma micracanthum.
211	CM 5328 Rhamphosus rastrum; CM 5308 Amphistium bozzianum; and CM 5309a Pterygocephalus paradoxus.	Monte Bolca			Italy					Y			5x7	Y				Y			Eastman: MCM 6(5), pl. 44, fig. 2 (5328); pl. 45, fig. 4 (5308); fig. 5 (5309a).
212	CM 5305 Archaephippus asper.	Monte Bolca			Italy					Y			5x7	Y				Y			Eastman: MCM 6(5), pl. 46, fig. 1, as Ephippus rhombus.
213	CM 5329 Cyclopoma micracanthum.	Monte Bolca			Italy					Y			5x7	Y				Y			Eastman: MCM 6(5), pl. 45, fig. 3.
214	CM 5331 fish and CM 5307 Odonteus sparoides.	Monte Bolca			Italy					Y			5x7	Y				Y			Eastman: MCM 6(5), pl. 47, fig. 1 (5307).
215	CM 4020 Mene oblonga.	Monte Bolca			Italy					Y			5x7	Y				Y			Eastman: MCM 4(7), pl. 92, fig. 3.
216	CM 4208 Odonteus sparoides.	Monte Bolca			Italy					Y			5x7	Y				Y			Eastman: MCM 4(7), pl. 97, fig. 1.
217	CM 4212 Cyclopoma pygmaeum.	Monte Bolca			Italy					Y			5x7	Y				Y			Eastman: MCM 4(7), pl. 97, fig. 5.
218	CM 4454 Naso nuchalis.	Monte Bolca			Italy					Y			5x7	Y				Y			Eastman: MCM 4(7), pl. 95, fig. 1.
219	CM 4457 Scophthalmus minimus.	Monte Bolca			Italy					Y			5x7	Y				Y			Eastman: MCM 4(7), pl. 95, fig. 1.
220	CM 4467 Exellia velifer.	Monte Bolca			Italy					Y			5x7	Y				Y			Eastman: MCM 4(7), pl. 96, fig. 1, as Semiophorus.
221	CM 4455 Holocentrus macrocephalum.	Monte Bolca			Italy					Y			5x7	Y				Y			Eastman: MCM 4(7), pl. 92, fig. 1.
222	CM 4532 Trachynotus tenuiceps.	Monte Bolca			Italy					Y			5x7	Y				Y			Eastman: MCM 4(7), pl. 91, fig. 1.
223	CM 4537 Carangopsis dorsalis.	Monte Bolca			Italy					Y			5x7	Y				Y			Eastman: MCM 4(7), pl. 91, fig. 2.
224	CM 4542 Sparnodus elongatus.	Monte Bolca			Italy					Y			5x7	Y				Y			Eastman: MCM 4(7), pl. 91, fig. 3.
225	CM 4015 Urosphen dubia.	Monte Bolca			Italy					Y			8x10	Y				Y			Eastman: MCM 4(7), pl. 90, fig. 2
226	CM 4228 Cyclopoma micracanthum.	Monte Bolca			Italy					Y			8x10	Y				Y			Eastman: MCM 4(7), pl. 97, fig. 4
